Data;Godzina;Goście;Gospodarze;Sezon;Stadion;Sędzia;AG;AvgA;AvgD;AvgH;HG;MaxA;MaxD;MaxH;PA;PD;PH;Czerwone kartki A;Czerwone kartki H;Faule A;Faule H;Interwencje bramkarzy A;Interwencje bramkarzy H;Posiadanie piłki A;Posiadanie piłki H;Rzuty rożne A;Rzuty rożne H;Rzuty wolne A;Rzuty wolne H;Spalone A;Spalone H;Strzały na bramkę A;Strzały na bramkę H;Strzały niecelne A;Strzały niecelne H;Strzały zablokowane A;Strzały zablokowane H;Sytuacje bramkowe A;Sytuacje bramkowe H;Wrzuty z autu A;Wrzuty z autu H;Żółte kartki A;Żółte kartki H;Zawodnik 1 A;Zawodnik 1 H;Zawodnik 2 A;Zawodnik 2 H;Zawodnik 3 A;Zawodnik 3 H;Zawodnik 4 A;Zawodnik 4 H;Zawodnik 5 A;Zawodnik 5 H;Zawodnik 6 A;Zawodnik 6 H;Zawodnik 7 A;Zawodnik 7 H;Zawodnik 8 A;Zawodnik 8 H;Zawodnik 9 A;Zawodnik 9 H;Zawodnik 10 A;Zawodnik 10 H;Zawodnik 11 A;Zawodnik 11 H;Res
07.12.2018;20:30;Śląsk Wrocław;Lech Poznań;2018/2019;Stadion Miejski (Poznań);Frankowski B. (Pol);0;3,71;3,39;1,99;2;4,2;3,5;2,09;3,91;3,46;2,05;0;0;25;18;3;3;0,37;0,63;0;2;;;4;0;3;5;4;6;;;7;11;;;3;3;Slowik J.;Buric J.;Broz L.;Gumny R.;Pawelec M.;Janicki R.;Golla W.;Vujadinovic N.;Cotra D.;Kostevych V.;Tarasovs I.;Pedro Tiba;Radecki M.;Trałka Ł.;Gaska D.;Makuszewski M.;Chrapek M.;Amaral J.;Cholewiak M.;Jóźwiak K.;Robak M.;Gytkjaer C.;H
08.12.2018;15:30;Zagłębie Sosnowiec;Pogoń Szczecin;2018/2019;Stadion Miejski w Szczecinie (Szczecin);Raczkowski P. (Pol);0;5,23;4,04;1,59;1;5,64;4,2;1,7;5,64;4,2;1,61;1;0;22;12;4;3;0,45;0,55;5;4;;;2;2;3;5;4;9;;;7;14;;;3;2;Kudła D.;Bursztyn J.;Heinloth M.;Stec D.;Polczak P.;Walukiewicz S.;Cichocki M.;Malec M.;Mraz P.;Matynia H.;Milewski S.;Podstawski T.;Banasiak A.;Drygas K.;Wrzesiński K.;Delev S.;Pawlowski S.;Kozulj Z.;Udovicic Z.;Majewski R.;Sanogo V.;Guarrotxena I.;H
08.12.2018;18:00;Wisła Płock;Korona Kielce;2018/2019;Suzuki Arena (Kielce);Sulikowski D. (Pol);2;3,57;3,39;2,03;2;3,85;3,55;2,13;3,76;3,46;2,09;0;0;17;24;5;1;0,51;0,49;7;5;;;2;1;3;7;1;3;;;4;10;;;3;4;Dahne T.;Hamrol M.;Stefanczyk C.;Gardawski M.;Łasicki I.;Diaw E. P.;Uryga A.;Kovacevic A.;Warcholak M.;Rymaniak B.;Furman D.;Petrak O.;Rasak D.;Żubrowski J.;Varela N.;Pucko M.;Szymański D.;Mozdzen M.;Merebashvili G.;Cebula M.;Ricardinho;Soriano E.;D
08.12.2018;20:30;Jagiellonia Białystok;Wisła Kraków;2018/2019;Stadion Miejski im. Henryka Reymana (Kraków);Kwiatkowski T. (Pol);2;2,34;3,35;2,92;2;2,44;3,5;3,04;2,42;3,47;3,04;0;0;10;5;5;6;0,58;0,42;6;3;;;1;0;8;7;18;3;;;26;10;;;2;2;Kelemen M.;Lis M.;Frankowski P.;Bartkowski J.;Klemenz L.;Wasilewski M.;Mitrovic N.;Arsenić Z.;Guilherme;Pietrzak R.;Poletanovic M.;Basha V.;Romanczuk T.;Plewka P.;Novikovas A.;Kolar M.;Pospisil M.;Kort D.;Sheridan C.;Kostal M.;Świderski K.;Ondrasek Z.;D
09.12.2018;15:30;Miedź Legnica;Górnik Zabrze;2018/2019;Stadion im. Ernesta Pohla (Zabrze);Jakubik K. (Pol);3;3,26;3,47;2,12;1;3,5;3,66;2,2;3,37;3,66;2,16;0;0;13;15;5;1;0,54;0,46;5;3;;;1;3;4;6;16;7;;;20;13;;;3;2;Kanibolotsky A.;Loska T.;Miljkovic A.;Wolniewicz A.;Osyra K.;Suarez D.;Bartczak G.;Bochniewicz P.;Zieliński P.;Koj M.;Purzycki A.;Zapolnik K.;Fernandez B.;Matuszek S.;Camara J.;Żurkowski S.;Piasecki F.;Jimenez J.;Ojamaa H.;Angulo I.;Forsell P.;Wolsztyński L.;A
09.12.2018;18:00;Legia Warszawa;Lechia Gdańsk;2018/2019;Polsat Plus Arena (Gdańsk);Marciniak S. (Pol);0;2,5;3,1;2,9;0;2,65;3,3;3,04;2,58;3,21;3,02;0;0;13;13;2;2;0,58;0,42;5;7;;;2;1;2;2;6;9;;;8;11;;;1;1;Majecki R.;Kuciak D.;Stolarski P.;Nunes J.;Remy W.;Nalepa M.;Jędrzejczyk A.;Augustyn B.;Hlousek A.;Mladenovic F.;Cafu;Łukasik D.;Martins A.;Kubicki J.;Vesovic M.;Wolski R.;Szymański S.;Makowski T.;Kucharczyk M.;Haraslin L.;Carlitos;Paixao F.;D
10.12.2018;18:00;Cracovia;Arka Gdynia;2018/2019;Stadion GOSiR (Gdynia);Lasyk P. (Pol);3;3,18;3,13;2,31;0;3,34;3,3;2,4;3,34;3,18;2,4;0;0;15;18;5;1;0,39;0,61;5;9;;;1;2;4;5;3;6;;;7;11;;;0;1;Peskovic M.;Steinbors P.;Diego;Zbozień D.;Dytyatev O.;Maghoma C.;Datkovic N.;Maric L.;Siplak M.;Marciniak A.;Rapa C.;Deja A.;Dimun M.;Nalepa M.;Gol J.;Zarandia L.;Wdowiak M.;Janota M.;Airam;Aankour N.;Javi H.;Jankowski M.;A
14.12.2018;18:00;Wisła Kraków;Wisła Płock;2018/2019;Orlen Stadion (Płock);Przybyl J. (Pol);2;3,55;3,54;1,99;1;4;3,75;2,11;3,63;3,58;2,1;0;0;16;17;4;1;0,49;0,51;3;10;;;2;2;3;5;5;17;;;8;22;;;1;3;Lis M.;Dahne T.;Bartkowski J.;Stefanczyk C.;Wasilewski M.;Łasicki I.;Arsenić Z.;Uryga A.;Sadlok M.;Stepinski P.;Basha V.;Rasak D.;Halilovic T.;Furman D.;Kolar M.;Varela N.;Kort D.;Szymański D.;Kostal M.;Merebashvili G.;Ondrasek Z.;Ricardinho;A
14.12.2018;20:30;Zagłębie Lubin;Jagiellonia Białystok;2018/2019;Stadion Miejski (Białystok);Jakubik K. (Pol);4;5,37;3,91;1,6;0;5,87;4,09;1,71;5,87;4,09;1,61;0;0;13;9;5;8;0,41;0,59;8;7;;;2;0;12;5;5;11;;;17;16;;;1;1;Hładun D.;Kelemen M.;Kopacz B.;Frankowski P.;Guldan L.;Klemenz L.;Oko D.;Mitrovic N.;Balic S.;Guilherme;Slisz B.;Romanczuk T.;Pawłowski B.;Poletanovic M.;Starzyński F.;Novikovas A.;Jagiełło F.;Pospisil M.;Bohar D.;Sheridan C.;Tuszyński P.;Świderski K.;A
15.12.2018;15:30;Pogoń Szczecin;Cracovia;2018/2019;Stadion MKS Cracovia (Kraków);Myc W. (Pol);1;3,01;2,99;2,48;2;3,22;3,25;2,7;3,16;3,09;2,56;1;0;20;17;4;4;0,56;0,44;4;4;;;3;1;5;6;12;11;;;17;17;;;3;3;Zaluska L.;Peskovic M.;Rudol S.;Diego;Walukiewicz S.;Dytyatev O.;Malec M.;Datkovic N.;Matynia H.;Siplak M.;Podstawski T.;Gol J.;Drygas K.;Rapa C.;Delev S.;Dąbrowski D.;Majewski R.;Javi H.;Kowalczyk S.;Wdowiak M.;Guarrotxena I.;Airam;H
15.12.2018;18:00;Arka Gdynia;Górnik Zabrze;2018/2019;Stadion im. Ernesta Pohla (Zabrze);Szczech Ł. (Pol);1;2,79;3,31;2,46;1;2,9;3,46;2,69;2,89;3,46;2,52;0;0;20;14;3;2;0,53;0,47;4;7;;;4;4;3;4;7;13;;;10;17;;;4;2;Steinbors P.;Bielica D.;Zbozień D.;Wolniewicz A.;Maghoma C.;Suarez D.;Maric L.;Bochniewicz P.;Marciniak A.;Gryszkiewicz A.;Nalepa M.;Zapolnik K.;Deja A.;Matuszek S.;Aankour N.;Żurkowski S.;Janota M.;Jimenez J.;Zarandia L.;Urynowicz M.;Jankowski M.;Angulo I.;D
15.12.2018;20:30;Piast Gliwice;Legia Warszawa;2018/2019;Stadion Wojska Polskiego (Warszawa);Frankowski B. (Pol);0;5,58;3,72;1,61;2;6,1;4,12;1,66;5,89;3,79;1,66;0;0;17;24;2;1;0,45;0,55;5;6;;;3;1;1;4;6;9;;;7;13;;;3;4;Plach F.;Majecki R.;Konczkowski M.;Vesovic M.;Korun U.;Remy W.;Czerwiński J.;Jędrzejczyk A.;Pietrowski M.;Hlousek A.;Sedlar A.;Cafu;Felix J.;Philipps C.;Hateley T.;Kucharczyk M.;Jodłowiec T.;Szymański S.;Jagiello A.;Nagy D.;Parzyszek P.;Kulenovic S.;H
16.12.2018;15:30;Korona Kielce;Śląsk Wrocław;2018/2019;Tarczyński Arena (Wrocław);Raczkowski P. (Pol);1;3,06;3,29;2,29;1;3,21;3,5;2,42;3,2;3,45;2,33;0;1;26;12;5;1;0,58;0,42;7;2;;;0;3;2;6;16;3;;;18;9;;;5;3;Hamrol M.;Slowik J.;Marquez I.;Broz L.;Kovacevic A.;Pawelec M.;Diaw E. P.;Golla W.;Mozdzen M.;Cotra D.;Żubrowski J.;Radecki M.;Petrak O.;Tarasovs I.;Gardawski M.;Ahmadzadeh F.;Pucko M.;Piech A.;Cebula M.;Pich R.;Soriano E.;Robak M.;D
16.12.2018;18:00;Lech Poznań;Zagłębie Sosnowiec;2018/2019;Stadion Ludowy (Sosnowiec);Kwiatkowski T. (Pol);6;1,98;3,47;3,64;0;2,02;3,67;3,82;2,01;3,64;3,82;0;0;11;12;3;2;0,4;0,6;6;3;;;0;4;8;3;1;8;;;9;11;;;1;2;Buric J.;Kudła D.;Gumny R.;Jedrych A.;Janicki R.;Polczak P.;Vujadinovic N.;Cichocki M.;Kostevych V.;Heinloth M.;Pedro Tiba;Milewski S.;Trałka Ł.;Pawlowski S.;Klups T.;Babiarz B.;Amaral J.;Mraz P.;Makuszewski M.;Vokic D.;Gytkjaer C.;Wrzesiński K.;A
17.12.2018;18:00;Lechia Gdańsk;Miedź Legnica;2018/2019;Stadion im. Orła Białego (Legnica);Dobrynin Z. (Pol);0;2,38;3,23;2,95;0;2,5;3,4;3,3;2,47;3,36;3,05;0;0;10;11;3;4;0,49;0,51;3;3;;;1;2;4;3;10;6;;;14;9;;;2;3;Kuciak D.;Kanibolotsky A.;Nunes J.;Bartczak G.;Nalepa M.;Osyra K.;Augustyn B.;Miljkovic A.;Mladenovic F.;Zieliński P.;Łukasik D.;Fernandez B.;Kubicki J.;Purzycki A.;Wolski R.;Camara J.;Makowski T.;Ojamaa H.;Haraslin L.;Forsell P.;Paixao F.;Szczepaniak M.;D
20.12.2018;18:00;Śląsk Wrocław;Pogoń Szczecin;2018/2019;Stadion Miejski w Szczecinie (Szczecin);Przybyl J. (Pol);1;3,95;3,37;1,92;2;4,26;3,5;2,08;4,26;3,42;1,98;0;0;12;5;4;1;0,46;0,54;6;3;;;2;5;2;6;8;9;;;10;15;;;4;1;Slowik J.;Zaluska L.;Broz L.;Stec D.;Pawelec M.;Walukiewicz S.;Golla W.;Malec M.;Kucharczyk P.;Matynia H.;Labojko J.;Podstawski T.;Augusto;Drygas K.;Ahmadzadeh F.;Delev S.;Piech A.;Kozulj Z.;Pich R.;Majewski R.;Robak M.;Guarrotxena I.;H
